elo_rank,country_code,elo_rating,peak_elo,peak_rank,average_elo,lowest_elo,collected_at
113,ID,1372,1578,101,1361,1103,2026-07-11T13:27:38.901177+00:00
115,ZM,1371,1709,60,1551,1344,2026-07-11T13:27:38.901177+00:00
116,KE,1363,1563,90,1379,1240,2026-07-11T13:27:38.901177+00:00
117,EE,1360,1541,94,1353,1088,2026-07-11T13:27:38.901177+00:00
118,VN,1351,1516,120,1298,1093,2026-07-11T13:27:38.901177+00:00
119,SD,1350,1707,90,1444,1226,2026-07-11T13:27:38.901177+00:00
120,RE,1345,1395,125,1184,1047,2026-07-11T13:27:38.901177+00:00
121,SV,1342,1607,72,1471,1322,2026-07-11T13:27:38.901177+00:00
121,MZ,1342,1495,116,1332,1210,2026-07-11T13:27:38.901177+00:00
123,SL,1341,1552,104,1368,1185,2026-07-11T13:27:38.901177+00:00
124,GP,1338,1530,91,1408,1179,2026-07-11T13:27:38.901177+00:00
125,RW,1336,1461,144,1207,1035,2026-07-11T13:27:38.901177+00:00
126,NI,1333,1373,146,1031,900,2026-07-11T13:27:38.901177+00:00
127,KW,1332,1734,84,1467,1175,2026-07-11T13:27:38.901177+00:00
128,MR,1329,1424,155,1116,911,2026-07-11T13:27:38.901177+00:00
129,AZ,1322,1551,107,1396,1257,2026-07-11T13:27:38.901177+00:00
130,ZN,1320,1366,145,1119,936,2026-07-11T13:27:38.901177+00:00
131,CY,1314,1575,102,1377,1249,2026-07-11T13:27:38.901177+00:00
132,TZ,1313,1511,117,1295,1130,2026-07-11T13:27:38.901177+00:00
133,MQ,1312,1565,80,1458,1312,2026-07-11T13:27:38.901177+00:00
134,LR,1304,1518,112,1342,1218,2026-07-11T13:27:38.901177+00:00
135,NA,1303,1428,136,1272,1117,2026-07-11T13:27:38.901177+00:00
136,KG,1295,1332,155,1203,1095,2026-07-11T13:27:38.901177+00:00
137,MY,1293,1548,122,1289,1054,2026-07-11T13:27:38.901177+00:00
137,GY,1293,1525,104,1294,1043,2026-07-11T13:27:38.901177+00:00
139,LB,1288,1472,109,1328,1166,2026-07-11T13:27:38.901177+00:00
139,LV,1288,1575,87,1399,1217,2026-07-11T13:27:38.901177+00:00
141,ET,1287,1638,99,1394,1238,2026-07-11T13:27:38.901177+00:00
142,NC,1286,1531,103,1356,1089,2026-07-11T13:27:38.901177+00:00
143,BI,1285,1465,125,1286,1163,2026-07-11T13:27:38.901177+00:00
144,TJ,1284,1503,123,1334,1195,2026-07-11T13:27:38.901177+00:00
145,DO,1283,1295,167,1061,931,2026-07-11T13:27:38.901177+00:00
146,LT,1279,1662,92,1318,1050,2026-07-11T13:27:38.901177+00:00
147,MD,1270,1556,110,1390,1169,2026-07-11T13:27:38.901177+00:00
